id,term,description,domain,synonyms,status
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0001,Customer, "An individual, household, or organization that engages with the company for the purpose of purchasing products, utilizing services, or establishing a mutually beneficial relationship. This interaction may involve placing orders, receiving deliverables, or engaging in ongoing service agreements, signifying a formal or informal commitment to the business's offerings.",Party,Client;Buyer,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0003,Name, "The official, unique identifier assigned to a customer entity within the organization's systems and business processes. This designation is consistently used across all customer-facing and internal operational touchpoints to ensure unambiguous identification and facilitate accurate data management and reporting.",Party,Full Name;Client Name,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0004,Address, "A structured representation of a physical location, composed of distinct elements such as street name, house number, city, postal code, and country, utilized for various business functions including, but not limited to, the delivery of goods and services, the origination of financial transactions for billing and invoicing, and the establishment of contact points for correspondence or official communication.",Location,Postal Address;Location,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0005,Street Name, "The official designation of a public way intended for vehicular and pedestrian traffic, forming part of an address for location identification and mail delivery.",Location,Street;Road Name,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0006,City, "The specific municipality or administrative division within a larger geographical region, forming a core component of a complete postal address. This term denotes the urban settlement where a specific location is situated, and it is critical for accurate mail delivery, geographical identification, and data segmentation.",Location,Town;Municipality,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0007,Postal Code, "A standardized alphanumeric or numeric code assigned by a postal service to a specific geographic region or address. It facilitates the efficient sorting, routing, and delivery of mail and packages by uniquely identifying delivery areas.",Location,ZIP Code;Postcode,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0008,Country, "The sovereign state within which a physical address is located. This component is critical for geographical segmentation, regulatory compliance, tax jurisdiction, and logistics.",Location,Nation;State Country,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0009,Email Address, "A unique identifier assigned to an individual or entity, facilitating the transmission and reception of digital messages through a networked communication system. It comprises a local-part and a domain-part, separated by the '@' symbol, adhering to standardized formats for interoperability across various email service providers and platforms.",Contact,Email;Mail Address,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0010,Phone Number, "A unique sequence of digits assigned to an individual subscriber or service endpoint within a telecommunication network, facilitating voice and data communication.",Contact,Mobile;Telephone,Validated
a1111111-aaaa-4aaa-8aaa-aaaaaaaa0011,Identifier, "A unique and unambiguous value assigned to a specific business entity or record, ensuring its distinctness within a given system or dataset. This identifier serves as a reference point for data retrieval, linkage, and management, maintaining data integrity and facilitating accurate reporting and analysis.",System,ID;Identifier Value,Under review
